(304,304,1024,512)
(304,0,176,208)
(304,208,16,96)
(480,32,16,192)
(496,0,512,192)
(1008,0,224,144)
(1232,0,96,192)
(1104,267,35,37)
(1328,304,16,16)			
(1344,320,16,16)
(1360,336,16,16)
(1376,352,16,16)
(1392,368,16,16)
(1408,384,16,16)
(1424,400,16,16)
(1440,400,704,96)
(1328,0,1088,176)
(2416,0,80,208)
(2496,0,16,224)		
(2512,0,192,208)
(2144,400,16,16)
(2160,384,16,16)
(2176,368,16,16)
(2192,352,16,16)
(2208,336,16,16)
(2224,320,16,16)
(2240,304,16,16)
(2256,288,16,16)
(2272,288,1360,320)
(2704,0,992,144)
(3632,144,64,320)
